title_primary,title_secondary,author_primary,author_secondary,description,meta_all
Der kleine Drache Kokosnuss - Das große Wimmel-Puzzle-Buch (Kinderbuch),N/A,Ingo Siegner,N/A,"Ein Mitmach-Bilderbuch für die kleinsten Kokosnuss-Fans! Auf der Dracheninsel geht es nicht mit rechten Dingen zu nichts ist so, wie es scheint. Der kleine Drache Kokosnuss, der Fressdrache Oskar und das Stachelschwein... (weiter)",AutorIn Ingo Siegner Seiten 10 EAN 9783570159804 Sprache deutsch erschienen bei cbj Erscheinungsdatum 24.11.2014 Kategorie ab 6 J. Altersfreigabe ab 04 Jahren
Die drei !!! 01. Die Handy-Falle (drei Ausrufezeichen) (Buch),N/A,Maja von Vogel,N/A,"Kim, Franziska und Marie sind Die drei !!!"". Mutig und clever ermitteln die drei Mädchen und sind jedem Fall gewachsen! Handys klingeln plötzlich in einem bestimmten Klingelton und versetzen die Besitzer damit in... (weiter)",AutorIn Maja von Vogel Edition Neuauflage. Seiten 144 EAN 9783440136188 Sprache deutsch erschienen bei Franckh-Kosmos Erscheinungsdatum 05.2013 Kategorie ab 10 J. Altersfreigabe ab 10 Jahren
Dien drei !!! 32 Party des Grauens (drei Ausrufezeichen) (Buch),N/A,Maja von Vogel,N/A,"Kim, Franziska und Marie sind Die drei !!!"". Mutig und clever ermitteln die drei Mädchen und sind jedem Fall gewachsen! Kim, Marie und Franzi stecken mitten in den Vorbereitungen für die große Halloweenparty des... (weiter)",AutorIn Maja von Vogel Edition Neuauflage. Seiten 144 EAN 9783440136447 Sprache deutsch erschienen bei Franckh-Kosmos Erscheinungsdatum 03.07.2013 Kategorie ab 10 J. Altersfreigabe ab 10 Jahren
"Das fantastische Reisebüro, Mit Elfie um die Welt (Buch)",N/A,Sylvie Liebsch,N/A,"Nie hätte Elfie sich träumen lassen, dass sie den Abend ihres elften Geburtstages auf einem Segelschiff vor der Küste von Mauritius verbringen würde. Aber wie konnte das nur geschehen? Hat es etwas mit dem... (weiter)",AutorIn Sylvie Liebsch Seiten 208 EAN 9783522504560 Sprache deutsch erschienen bei Thienemann-Esslinger Erscheinungsdatum 07.04.2015 Kategorie von 9-12 J. Altersfreigabe ab 9 Jahren
Überall Kreise (Kinderbuch),N/A,Yusuke Yonezu,N/A,"Yonezu schickt seine kleinen Leser auf eine spannende Entdeckungsreise in die Welt der Kreise. Reduzierte Formen, klare Farben und tolle Bildideen sind sein Konzept, das er auch in seiner neuen Pappbilderbuchreihe erfolgreich... (weiter)","AutorIn Yusuke Yonezu Seiten 26 EAN 9783865662798 Sprache deutsch erschienen bei Neugebauer, Michael Edit. Erscheinungsdatum 09.2014 Kategorie ab 2 J. Altersfreigabe ab 2 Jahren"
Duden Zwerge: Schau mal nach! (Kinderbuch),N/A,,N/A,"Klappe auf, Klappe zu! Schau doch mal, was dahinter steckt! Dieses erste Klappenbuch für Kinder ab 18 Monaten besticht durch seine klaren Farben und die einfachen Fragen, die dem Kinderalltag entnommen sind. Wer bekommt... (weiter)",Seiten 12 EAN 9783737331937 Sprache deutsch erschienen bei FISCHER Duden Erscheinungsdatum 20.02.2014 Kategorie ab 18 Mon. Altersfreigabe ab 1 Jahren
Die drei !!! 12. Popstar in Not (drei Ausrufezeichen) (Buch),N/A,Maja von Vogel,N/A,"Der umschwärmte Sänger Nick gastiert mit seiner Boygroup in der Stadt. Kim, Franzi und Marie lernen die Popstars kennen und besonders Marie ist hin und weg! Als die drei !!! erfahren, dass Nick erpresst wird, sind sie... (weiter)",AutorIn Maja von Vogel Edition Neuauflage. Seiten 144 EAN 9783440136218 Sprache deutsch erschienen bei Franckh-Kosmos Erscheinungsdatum 14.01.2014 Kategorie ab 10 J. Altersfreigabe ab 10 Jahren
Meine ersten Bücher: Meine Sachen (Kinderbuch),N/A,,N/A,Ein Buch zum ersten Entdecken und Benennen. Hier können schon die ganz Kleinen erste Sachen erkennen. (weiter),Seiten 18 EAN 9783760799520 Sprache deutsch erschienen bei Ars Edition GmbH Erscheinungsdatum 03.07.2014 Kategorie ab 12 Mon. Altersfreigabe ab 1 Jahren
Märchenschatz (Kinderbuch),N/A,,N/A,,Edition 1. Aufl. Seiten 304 EAN 9783037934098 Sprache deutsch erschienen bei Otus Verlag AG Erscheinungsdatum 06.09.2013 Kategorie ab 6 J. Altersfreigabe ab 4 Jahren
Die drei !!! 29 Panik im Freizeitpark (drei Ausrufezeichen) (Buch),N/A,Mira Sol,N/A,"Kim, Franziska und Marie sind Die drei !!! . Mutig und clever ermitteln die drei Mädchen und sind jedem Fall gewachsen. Was für eine Neuigkeit, bei Billershausen wird der Freizeitpark Sugarland eröffnet! Doch... (weiter)",AutorIn Mira Sol Edition N.-A. Seiten 144 EAN 9783440136416 Sprache deutsch erschienen bei Franckh-Kosmos Erscheinungsdatum 02.10.2013 Kategorie ab 10 J. Altersfreigabe ab 10 Jahren
