title,authors,book_description,meta_all
ENCICLOPEDIA INCRÍBLE LAROUSSE. PRINCESAS,,,Editorial: LAROUSSE Año de edición: 2012 Materia: Juegos y actividades de 3 a 6 años ISBN: 978-84-15411-10-9 Páginas: 50 Encuadernación: Cartoné Colección: Enciclopedia Larousse Idioma: Español
ENCUENTRA LA RESPUESTA,,,Editorial: BLUME Año de edición: 2007 Materia: Divulgación de 10 a 12 años ISBN: 978-84-9801-194-4 Páginas: 155 Encuadernación: Cartoné Idioma: Español
ENDEVINALLES PER JUGAR,,,Editorial: VOX Año de edición: 2010 Materia: Narrativa de 6 a 8 años ISBN: 978-84-7153-883-3 Páginas: 28 Encuadernación: Cartoné Colección: Para Jugar Idioma: Español
ENCIENDE Y APAGA,Franco & Pires,,Editorial: ANAYA Año de edición: 2007 Materia: Narrativa de 6 a 8 años ISBN: 978-84-667-6262-5 Páginas: 32 Encuadernación: Cartoné Colección: Sopa de Cuentos Idioma: Español
ENERO. ESTE MES CUMPLO AÑOS,Varios Autores,,Editorial: LA GALERA Año de edición: 2007 Materia: Divulgación y aprendizaje de 3 a 6 años ISBN: 978-84-246-2389-0 Páginas: 16 Encuadernación: Rústica Colección: MI Mes Idioma: Español
ENERGÍAS Y RELACIONES PARA CRECER,Maria Merce Conangle,,Editorial: PARRAMÓN Año de edición: 2013 Materia: Divulgación de 6 a 8 años ISBN: 978-84-342-4038-4 Páginas: 64 Encuadernación: Cartoné Idioma: Español
ENIGMAS A GOGO,,,Editorial: SAN PABLO Año de edición: 2007 Materia: Juegos y actividades de 10 a 12 años ISBN: 978-84-285-3095-8 Páginas: 80 Encuadernación: Rústica Idioma: Español
ENIGMAS DE CABALLEROS Y CASTILLOS,,,Editorial: ANAYA Año de edición: 2011 Materia: Divulgación de 6 a 8 años ISBN: 978-84-667-9513-5 Páginas: 112 Colección: Infantil y Juvenil Idioma: Español
ENIGMAS EN TODOS LOS PISOS,,,Editorial: SAN PABLO Año de edición: 2007 Materia: Juegos y actividades de 10 a 12 años ISBN: 978-84-285-3094-1 Páginas: 80 Encuadernación: Rústica Idioma: Español
ENGAÑIFAS,Beatriu Cajal,,Editorial: LA GALERA Año de edición: 2007 Materia: De 6 a 8 años ISBN: 978-84-246-2566-5 Páginas: 60 Encuadernación: Rústica Idioma: Español
ENCUENTRO EN RUSIA,Lauren St. John,,Editorial: BAMBÚ Año de edición: 2015 Materia: Narrativa de 10 a 12 años ISBN: 978-84-8343-370-6 Páginas: 248 Encuadernación: Rústica Colección: Jovenes Lectores Idioma: Español Temas: Intriga Valores: Amistad. Amor
ENCLAVE,Ann Aguirre,,Editorial: HIDRA Año de edición: 2012 Materia: Narrativa de 16 a 18 años ISBN: 978-84-92939-99-2 Páginas: 352 Encuadernación: Rústica Idioma: Español Temas: Distopía. Fantasía Valores: Coraje
ENEMIGAS ÍNTIMAS,Nancy Krulik,,Editorial: BRUÑO Año de edición: 2011 Materia: Álbum ilustrado ISBN: 978-84-216-8653-9 Páginas: 128 Encuadernación: Rústica Colección: Secreto Magico Katiekazoo Idioma: Español
ENREDADOS : SUPERCOLOR. CON PEGATINAS,,,Editorial: DISNEY Año de edición: 2011 Materia: Juegos y actividades de 3 a 6 años ISBN: 978-84-9951-051-4 Páginas: 48 Encuadernación: Rústica Colección: Super Color Idioma: Español
ENREDADOS: LIBRO DE PEGATINAS,,,Editorial: DISNEY Año de edición: 2011 Materia: De 3 a 6 años ISBN: 978-84-9951-049-1 Páginas: 12 Encuadernación: Rústica Colección: Libros Disney Idioma: Español
ENREDADOS: MEGACOLOR,,,Editorial: DISNEY Año de edición: 2011 Materia: Para leer a los niños ISBN: 978-84-9951-053-8 Páginas: 192 Encuadernación: Rústica Colección: Megacolor Idioma: Español
ENEMIGOS DE PABLO DIABLO,Francesca Simon,,Editorial: SM Año de edición: 2009 Materia: Narrativa de 6 a 8 años ISBN: 978-84-675-3522-8 Páginas: 195 Encuadernación: Cartoné Colección: El Barco de Vapor Idioma: Español
ENDRINA Y EL SECRETO DEL PEREGRINO,Concha López Narváez,,Editorial: PLANETA Año de edición: 2010 Materia: Narrativa de 12 a 14 años ISBN: 978-84-08-09103-5 Páginas: 287 Encuadernación: Rústica Colección: Cuatrovientos +12 Idioma: Español
ENREDADOS: PEQUECUENTOS,,,Editorial: DISNEY Año de edición: 2011 Materia: Para leer a los niños ISBN: 978-84-9951-050-7 Páginas: 26 Encuadernación: Cartoné Colección: Pequecuentos Idioma: Español
ENIGMAS PARA ANTES DE IR A DORMIR,Laura Overdeck,,Editorial: MONTENA Año de edición: 2014 Materia: Juegos y actividades de 8 a 10 años ISBN: 978-84-9043-193-1 Páginas: 128 Encuadernación: Cartoné Colección: Cajon Desastre Idioma: Español
ENDGAME. LA LLAMADA,"[""James Frey"", ""Nils Johnson-Shelton""]",,Editorial: PLANETA Año de edición: 2014 Materia: Narrativa de 14 a 16 años ISBN: 978-84-08-13207-3 Páginas: 528 Encuadernación: Cartoné Idioma: Español
"ENIGMA ROSENTHAL, EL",Daniel Hernández Chambers,,Editorial: ALGAR Año de edición: 2010 Materia: Narrativa de 14 a 16 años ISBN: 978-84-9845-192-4 Páginas: 208 Encuadernación: Rústica Idioma: Español
ENIGMAS Y JUEGOS DE INGENIO,Tim Dedopulos,,Editorial: GRIJALBO Año de edición: 2013 Materia: Juegos y actividades de 10 a 12 años ISBN: 978-84-253-5140-2 Páginas: 256 Encuadernación: Cartoné Idioma: Español
ENIGMA EN EL CURI-CANCHA,Juana Aurora Mayoral,,"Editorial: BRUÑO Año de edición: 2009 Materia: Narrativa de 12 a 14 años ISBN: 978-84-216-6527-5 Páginas: 193 Encuadernación: Rústica Colección: Novela Histórica, 21 Idioma: Español Temas: Convivencia y relaciones sociales. Historia Valores: Amistad. Justicia"
ENREDADOS. LIBRO PEGATINAS,Disney,,Editorial: DISNEY Año de edición: 2013 Materia: Juegos y actividades de 3 a 6 años ISBN: 978-84-9951-470-3 Páginas: 12 Encuadernación: Rústica Idioma: Español
