pub_date,link_to_book/_text,link_to_book,author,publisher,
01/01/2001,HARRY POTTER Y LA ORDEN DEL FENIX,http://www.casadellibro.com/libro-harry-potter-y-la-orden-del-fenix/9788478887422/942080,J.K. ROWLING y JOANNE K. ROWLING,"SALAMANDRA (PUBLICACIONES Y EDICIONES SALAMANDRA, S.A.)",
01/01/2003,EL GATO NEGRO Y OTROS CUENTOS DE HORROR,http://www.casadellibro.com/libro-el-gato-negro-y-otros-cuentos-de-horror/9788431665821/886289,EDGAR ALLAN POE,VICENS-VIVES,
01/01/2013,EL SABUESO DE LOS BASKERVILLE: AUXILIAR DE BUP,http://www.casadellibro.com/libro-el-sabueso-de-los-baskerville-auxiliar-de-bup/9788431632915/444919,ARTHUR CONAN DOYLE,VICENS-VIVES,
01/03/2005,ABDEL,http://www.casadellibro.com/libro-abdel/9788434842717/448491,ENRIQUE PAEZ,EDICIONES SM,
01/04/2011,LOS MISERABLES,http://www.casadellibro.com/libro-los-miserables/9788497403863/1843244,VICTOR HUGO,CASTALIA,
01/04/2013,NIGHT SCHOOL. TRAS LOS MUROS DE CIMMERIA,http://www.casadellibro.com/libro-night-school-tras-los-muros-de-cimmeria/9788466327008/2093761,C.J. DAUGHERTY,PUNTO DE LECTURA,
01/04/2013,DEL MATERIAL DEL QUE ESTAN HECHOS LOS SUEÑOS,http://www.casadellibro.com/libro-del-material-del-que-estan-hechos-los-suenos/9788466327015/2093766,ELIZABETH EULBERG,PUNTO DE LECTURA,
01/04/2013,SANGRE DE TINTA,http://www.casadellibro.com/libro-sangre-de-tinta/9788415803096/2101296,CORNELIA FUNKE,SIRUELA,
01/06/2010,HARRY POTTER Y LA CAMARA SECRETA,http://www.casadellibro.com/libro-harry-potter-y-la-camara-secreta/9788498382679/1702768,J.K. ROWLING y JOANNE K. ROWLING,"SALAMANDRA (PUBLICACIONES Y EDICIONES SALAMANDRA, S.A.)",
01/06/2011,LA DAMA DEL ALBA,http://www.casadellibro.com/libro-la-dama-del-alba/9788497404020/1860748,ALEJANDRO CASONA,CASTALIA,
01/06/2011,"¡ADIOS, CORDERA! Y OTROS RELATOS",http://www.casadellibro.com/libro-adios-cordera-y-otros-relatos/9788497404044/1860771,LEOPOLDO (CLARIN) ALAS,CASTALIA,
01/06/2011,DON QUIJOTE DE LA MANCHA (SELECCION DE TEXTOS),http://www.casadellibro.com/libro-don-quijote-de-la-mancha-seleccion-de-textos/9788497404204/1860784,MIGUEL DE CERVANTES SAAVEDRA,CASTALIA,
01/06/2011,LA VIDA DE LAZARILLO DE TORMES,http://www.casadellibro.com/libro-la-vida-de-lazarillo-de-tormes/9788497404211/1860785,VV.AA.,CASTALIA,
01/06/2011,LA CELESTINA,http://www.casadellibro.com/libro-la-celestina/9788497404235/1860788,FERNANDO DE ROJAS,CASTALIA,
01/06/2012,LA CHICA DE FUEGO Y ESPINO,http://www.casadellibro.com/libro-la-chica-de-fuego-y-espino/9788448003173/625873,RAE CARSON,TIMUN MAS,
01/06/2012,ABRAZAME FUERTE,http://www.casadellibro.com/libro-abrazame-fuerte/9788408005742/1983720,LOF YU,PLANETA,
01/07/2008,LEYENDAS Y RIMAS,http://www.casadellibro.com/libro-leyendas-y-rimas/9788431689735/1210142,GUSTAVO ADOLFO BECQUER,VICENS-VIVES,
01/07/2014,NOCHE OSCURA EN PARIS,http://www.casadellibro.com/libro-noche-oscura-en-paris/9788490430118/2295824,PAGE MORGAN,MONTENA,
01/10/2010,ATRAPADA,http://www.casadellibro.com/libro-atrapada/9788498006148/1778584,P.C. CAST y KRISTIN CAST,LA FACTORIA DE IDEAS,
01/10/2010,MEMORIAS DE IDHUN: PANTEON: CONVULSION (V),http://www.casadellibro.com/libro-memorias-de-idhun-panteon-convulsion-v/9788467535976/1779329,LAURA GALLEGO GARCIA,EDICIONES SM,
01/10/2014,TRAICION: MIRAME Y DISPARA 2,http://www.casadellibro.com/libro-traicion-mirame-y-dispara-2/9788494290473/2405655,ALESSANDRA NEYMAR,NOVA CASA EDITORIAL,
01/10/2014,AMANECER ROJO,http://www.casadellibro.com/libro-amanecer-rojo/9788427208384/2379829,PIERCE BROWN,MOLINO,
01/10/2014,SI DIERA MI VIDA,http://www.casadellibro.com/libro-si-diera-mi-vida/9788415854234/2382954,AMY PLUM,LIBROS DE SEDA,
01/12/2014,SARA IZENEKO GIZONA (EDIZIO BERRITUA),http://www.casadellibro.com/libro-sara-izeneko-gizona-edizio-berritua/9788476818626/2442820,BERNARDO ATXAGA,PAMIELA,
02/03/2010,CARTA AL REY,http://www.casadellibro.com/libro-carta-al-rey/9788466324373/1655640,TONKE DRAGT,PUNTO DE LECTURA,
02/03/2010,CUENTOS DE BERETH II: LA MALDICION DE LAS MUSAS,http://www.casadellibro.com/libro-cuentos-de-bereth-ii-la-maldicion-de-las-musas/9788492929047/1684485,JAVIER RUESCAS,VERSATIL,
02/04/2012,EVE,http://www.casadellibro.com/libro-eve/9788499184340/1977050,ANNA CAREY,ROCA EDITORIAL DE LIBROS,
02/04/2014,EL FIN DE LOS SUEÑOS,http://www.casadellibro.com/libro-el-fin-de-los-suenos/9788415880851/2257844,JOSE ANTONIO COTRINA,PLATAFORMA,
02/04/2014,HYDE,http://www.casadellibro.com/libro-hyde/9788420417042/2273075,DAVID LOZANO GARBALA,ALFAGUARA,
02/07/2010,LATIDOS,http://www.casadellibro.com/libro-latidos/9788499083858/1701852,ANNA GODBERSEN,DEBOLSILLO,
02/07/2013,CAZADORES DE SOMBRAS 1: CIUDAD DE HUESO BOLS,http://www.casadellibro.com/libro-cazadores-de-sombras-1-ciudad-de-hueso-bols/9788408118190/2114463,CASSANDRA CLARE,PLANETA,
02/08/2004,FUENTE OVEJUNA,http://www.casadellibro.com/libro-fuente-ovejuna/9788431671761/981734,FELIX LOPE DE VEGA,VICENS-VIVES,
02/09/2013,LA GUERRERA DE TILDOR,http://www.casadellibro.com/libro-la-guerrera-de-tildor/9788494112355/2197430,ALEX LIDELL,OZ EDITORIAL,
