link_to_book/_text,cover_image/_alt,link_to_book,link_to_book/_title,cover_image
"Momia Del Titanic, La (pack) (Alfred & Agatha (catalan))",Detalles del producto,http://www.amazon.es/Momia-Titanic-Alfred-Agatha-catalan/dp/8468312916/ref=sr_1_1/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-1,"Momia Del Titanic, La (pack) (Alfred & Agatha (catalan))",http://g-ecx.images-amazon.com/images/G/30/x-site/icons/no-img-sm._V182358440_AA200_.gif
Canalla - Letra Lligada (Tren Blau (catalan)),Detalles del producto,http://www.amazon.es/Canalla-Letra-Lligada-Tren-catalan/dp/8468311685/ref=sr_1_2/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-2,Canalla - Letra Lligada (Tren Blau (catalan)),http://ecx.images-amazon.com/images/I/51QXbMC%2BjhL._AA200_.jpg
La Vida Y Obra De Don Bosco (Vida Contada A Los Niños),Detalles del producto,http://www.amazon.es/Vida-Obra-Bosco-Contada-Ni%C3%B1os/dp/8468319856/ref=sr_1_3/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-3,La Vida Y Obra De Don Bosco (Vida Contada A Los Niños),http://ecx.images-amazon.com/images/I/51IA23%2BDzBL._AA200_.jpg
Prohibido tener 14 años (PERISCOPIO),Detalles del producto,http://www.amazon.es/Prohibido-tener-14-a%C3%B1os-PERISCOPIO-ebook/dp/B00NC8TNLO/ref=sr_1_4/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-4,Prohibido tener 14 años (PERISCOPIO),"http://ecx.images-amazon.com/images/I/5196lBWlzWL._SL200_PIsitb-sticker-arrow-dp,TopRight,12,-18_SH30_OU30_AA200_.jpg"
Donde el viento da la vuelta (PERISCOPIO),Detalles del producto,http://www.amazon.es/Donde-viento-vuelta-PERISCOPIO-Sierra-ebook/dp/B00NC8TO4U/ref=sr_1_5/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-5,Donde el viento da la vuelta (PERISCOPIO),"http://ecx.images-amazon.com/images/I/51h38NFrcIL._SL200_PIsitb-sticker-arrow-dp,TopRight,12,-18_SH30_OU30_AA200_.jpg"
No es un crimen enamorarse (PERISCOPIO),Detalles del producto,http://www.amazon.es/crimen-enamorarse-PERISCOPIO-Mar%C3%ADa-Plaza-ebook/dp/B00NC8TO3G/ref=sr_1_6/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-6,No es un crimen enamorarse (PERISCOPIO),"http://ecx.images-amazon.com/images/I/51ZkWQG7aEL._SL200_PIsitb-sticker-arrow-dp,TopRight,12,-18_SH30_OU30_AA200_.jpg"
LA REINA DE CRISTAL III,Detalles del producto,http://www.amazon.es/REINA-CRISTAL-Isabel-Conejo-Alonso-ebook/dp/B00NC8TOQI/ref=sr_1_7/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-7,LA REINA DE CRISTAL III,"http://ecx.images-amazon.com/images/I/51T2uhiq5yL._SL200_PIsitb-sticker-arrow-dp,TopRight,12,-18_SH30_OU30_AA200_.jpg"
LA REINA DE CRISTAL II,Detalles del producto,http://www.amazon.es/REINA-CRISTAL-Isabel-Conejo-Alonso-ebook/dp/B00NC8TOPY/ref=sr_1_8/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-8,LA REINA DE CRISTAL II,"http://ecx.images-amazon.com/images/I/51oN0yC2PPL._SL200_PIsitb-sticker-arrow-dp,TopRight,12,-18_SH30_OU30_AA200_.jpg"
ERIK VOGLER 2: MUERTE EN EL BALNEARIO,Detalles del producto,http://www.amazon.es/ERIK-VOGLER-MUERTE-EN-BALNEARIO-ebook/dp/B00NC8TP6W/ref=sr_1_9/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-9,ERIK VOGLER 2: MUERTE EN EL BALNEARIO,"http://ecx.images-amazon.com/images/I/51sQERS76SL._SL200_PIsitb-sticker-arrow-dp,TopRight,12,-18_SH30_OU30_AA200_.jpg"
ERIK VOGLER 1: LOS CRÍMENES DEL BLANCO (Eric Vogler),Detalles del producto,http://www.amazon.es/ERIK-VOGLER-CR%C3%8DMENES-BLANCO-Vogler-ebook/dp/B00NC8TNK0/ref=sr_1_10/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-10,ERIK VOGLER 1: LOS CRÍMENES DEL BLANCO (Eric Vogler),"http://ecx.images-amazon.com/images/I/51BD4OumflL._SL200_PIsitb-sticker-arrow-dp,TopRight,12,-18_SH30_OU30_AA200_.jpg"
LA REINA DE CRISTAL I,Detalles del producto,http://www.amazon.es/REINA-CRISTAL-Isabel-Conejo-Alonso-ebook/dp/B00NC8TNKA/ref=sr_1_11/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-11,LA REINA DE CRISTAL I,"http://ecx.images-amazon.com/images/I/51ScKZgU%2BWL._SL200_PIsitb-sticker-arrow-dp,TopRight,12,-18_SH30_OU30_AA200_.jpg"
Nele Y La Pandilla Salvaje,Detalles del producto,http://www.amazon.es/Nele-Pandilla-Salvaje-Usch-Luhn/dp/8468309192/ref=sr_1_12/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-12,Nele Y La Pandilla Salvaje,http://ecx.images-amazon.com/images/I/518lwkA3vHL._AA200_.jpg
El Gran Libro Del Bebé. Osito (Bebe),Detalles del producto,http://www.amazon.es/Gran-Libro-Beb%C3%A9-Osito-Bebe/dp/8468311391/ref=sr_1_13/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-13,El Gran Libro Del Bebé. Osito (Bebe),http://ecx.images-amazon.com/images/I/51cha50JH7L._AA200_.jpg
Mariquita (Bebe),Detalles del producto,http://www.amazon.es/Mariquita-Bebe-Vv-Aa/dp/8468311367/ref=sr_1_14/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-14,Mariquita (Bebe),http://ecx.images-amazon.com/images/I/51Pu9j3bRzL._AA200_.jpg
"Me, Mum & Mystery 3. El Caso Del Elefante De Marfil",Detalles del producto,http://www.amazon.es/Mum-Mystery-Caso-Elefante-Marfil/dp/8468312258/ref=sr_1_15/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-15,"Me, Mum & Mystery 3. El Caso Del Elefante De Marfil",http://ecx.images-amazon.com/images/I/51SkwgFfmrL._AA200_.jpg
Las aventuras de Alfred y Agatha VII: La momia del titanic,Detalles del producto,http://www.amazon.es/Las-aventuras-Alfred-Agatha-VII-ebook/dp/B00NC8TPAI/ref=sr_1_16/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-16,Las aventuras de Alfred y Agatha VII: La momia del titanic,"http://ecx.images-amazon.com/images/I/51ya9rRimjL._SL200_PIsitb-sticker-arrow-dp,TopRight,12,-18_SH30_OU30_AA200_.jpg"
