book_page_url,isbn,title,subtitle,cover_image,publisher,pub_date,author_primary,author_secondary,awards,book_description,spec_all,category_all
,,"Je trace, j'efface les lettres (Broché)",,http://b.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/1/4/0/9/5/9781409539933FS.gif,Usborne,Paru le : 12/01/2012,Usborne publishing,,,"Un outil amusant, qui permettra aux jeunes enfants d'apprendre les lettres.","Date de parution : 12/01/2012 Editeur : Usborne ISBN : 1-4095-3993-3 EAN : 9781409539933 Présentation : Broché Nb. de pages : 16 pages Poids : 0,215 Kg Dimensions : 21,5 cm × 27,7 cm × 0,5 cm","Livres > Jeunesse > Jeux, loisirs & activités > Livres > Jeunesse > Jeux, loisirs & activités > Jeux pour enfants > Livres > Jeunesse > Jeux, loisirs & activités > Jeux pour enfants > Coloriages, gommettes & autocollants > Livres > Loisirs, nature & voyages > Sports & jeux > Jeux pour enfants > Livres > Loisirs, nature & voyages > Sports & jeux > Jeux pour enfants > Coloriages, gommettes & autocollants >"
,,Où est mon tracteur ? (Cartonné),,http://b.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/1/4/0/9/5/9781409540021FS.gif,"[""Usborne"", ""Les tout-doux Usborne""]",Paru le : 16/02/2012,Fiona Watt,"Rachel Wells (Illustrateur), Lorraine Beurton-Sharp (Traducteur)",,"Cette collection de livres cartonnés, qui se regardent et qui se touchent, est destinée aux tout-petits. Ceux-ci s'amuseront à tourner les pages pour découvrir les illustrations vives et colorées et pour toucher les différentes matières. Ils développeront leur langage ainsi que leur sens tactile.","Date de parution : 16/02/2012 Editeur : Usborne Collection : Les tout-doux Usborne ISBN : 1-4095-4002-1 EAN : 9781409540021 Présentation : Cartonné Nb. de pages : 10 pages Poids : 0,32 Kg Dimensions : 16,9 cm × 17,0 cm × 2,2 cm",Livres > Jeunesse > Albums 0-6 ans > Livres > Jeunesse > Albums 0-6 ans > Pour les tout-petits (0-3 ans) > Livres > Jeunesse > Albums 0-6 ans > Pour les tout-petits (0-3 ans) > Livres à toucher >
,,Les animaux 1000 autocollants (Broché),,http://a.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/1/4/0/9/5/9781409540076FS.gif,Usborne,Paru le : 01/04/2012,"Fiona Watt, Stella Baggott",Renée Chaspoul (Traducteur),,"Des autocollants craquants à utiliser dans les scènes du livre ou pour décorer ses propres dessins, cartes d'anniversaire et autres.","Date de parution : 01/04/2012 Editeur : Usborne ISBN : 1-4095-4007-6 EAN : 9781409540076 Présentation : Broché Nb. de pages : 87 pages Poids : 0,345 Kg Dimensions : 15,0 cm × 21,0 cm × 1,5 cm","Livres > Jeunesse > Jeux, loisirs & activités > Livres > Jeunesse > Jeux, loisirs & activités > Actualité éditoriale > Activités pour les vacances d'hiver > Livres > Jeunesse > Jeux, loisirs & activités > Jeux pour enfants > Livres > Jeunesse > Jeux, loisirs & activités > Jeux pour enfants > Coloriages, gommettes & autocollants > Livres > Loisirs, nature & voyages > Sports & jeux > Jeux pour enfants > Livres > Loisirs, nature & voyages > Sports & jeux > Jeux pour enfants > Coloriages, gommettes & autocollants >"
,,"Je trace, j'efface, je relie les points (Broché)",,http://a.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/1/4/0/9/5/9781409541066FS.gif,Usborne,Paru le : 23/08/2012,Stacey Lamb,"Claire Ever , Renée Chaspoul (Traducteur)",,"Un livre plein de couleurs, qui permettra aux jeunes enfants de s'entraîner à manipuler le crayon.","Date de parution : 23/08/2012 Editeur : Usborne ISBN : 1-4095-4106-6 EAN : 9781409541066 Présentation : Broché Nb. de pages : 22 pages Poids : 0,215 Kg Dimensions : 21,8 cm × 27,7 cm × 2,0 cm","Livres > Jeunesse > Jeux, loisirs & activités > Livres > Jeunesse > Jeux, loisirs & activités > Jeux pour enfants > Livres > Jeunesse > Jeux, loisirs & activités > Jeux pour enfants > Livres-jeux > Livres > Loisirs, nature & voyages > Sports & jeux > Jeux pour enfants > Livres > Loisirs, nature & voyages > Sports & jeux > Jeux pour enfants > Livres-jeux >"
,,"Je trace, j'efface, Labyrinthes (Broché)",,http://a.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/1/4/0/9/5/9781409555605FS.gif,Usborne Publishing,Paru le : 02/08/2012,"Stacey Lamb, Jessica Greenwell",Déborah Cixous (Traducteur),,"Grâce à tous ces labyrinthes, les enfants apprennent à manipuler un crayon tout en s'amusant.","Date de parution : 02/08/2012 Editeur : Usborne Publishing ISBN : 1-4095-5560-5 EAN : 9781409555605 Présentation : Broché Nb. de pages : 20 pages Poids : 0,21 Kg Dimensions : 21,5 cm × 27,5 cm × 1,0 cm","Livres > Jeunesse > Jeux, loisirs & activités > Livres > Jeunesse > Jeux, loisirs & activités > Jeux pour enfants > Livres > Jeunesse > Jeux, loisirs & activités > Jeux pour enfants > Livres-jeux > Livres > Loisirs, nature & voyages > Sports & jeux > Jeux pour enfants > Livres > Loisirs, nature & voyages > Sports & jeux > Jeux pour enfants > Livres-jeux >"
,,Les transports (Cartonné),,http://a.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/1/4/0/9/5/9781409558484FS.gif,"[""Usborne Publishing"", ""Je découvre...""]",Paru le : 14/08/2013,Rosalinde Bonnet,Sophie Cooper (Traducteur),,"Je découvre les transports. Ce petit imagier présente aux jeunes enfants plus de 50 choses qui avancent, roulent, naviguent ou volent.","Date de parution : 14/08/2013 Editeur : Usborne Publishing Collection : Je découvre... ISBN : 1-4095-5848-4 EAN : 9781409558484 Format : Album Présentation : Cartonné Nb. de pages : 10 pages Poids : 0,29 Kg Dimensions : 18,1 cm × 15,8 cm × 1,9 cm",Livres > Jeunesse > Albums 0-6 ans > Livres > Jeunesse > Albums 0-6 ans > Premières notions (0-3 ans) > Livres > Jeunesse > Albums 0-6 ans > Premières notions (0-3 ans) > Imagiers & premiers dictionnaires >
,,Les pirates - Coloriages et activités (Broché),,http://a.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/1/4/0/9/5/9781409558811FS.gif,Usborne,Paru le : 07/05/2013,"Candice Whatmore, Kirsteen Robson",Déborah Cixous (Traducteur),,"Colorie les scènes pour donner vie à tout un monde d'aventures en mer. Tu en trouveras quinze en tout à terminer, ainsi que des activités avec des jeux de mots et des dessins à faire, et même des faits intéressants sur les pirates.","Date de parution : 07/05/2013 Editeur : Usborne ISBN : 1-4095-5881-1 EAN : 9781409558811 Présentation : Broché Nb. de pages : 32 pages Poids : 0,253 Kg Dimensions : 24,1 cm × 30,6 cm × 0,6 cm","Livres > Jeunesse > Jeux, loisirs & activités > Livres > Jeunesse > Jeux, loisirs & activités > Jeux pour enfants > Livres > Jeunesse > Jeux, loisirs & activités > Jeux pour enfants > Coloriages, gommettes & autocollants > Livres > Loisirs, nature & voyages > Sports & jeux > Jeux pour enfants > Livres > Loisirs, nature & voyages > Sports & jeux > Jeux pour enfants > Coloriages, gommettes & autocollants >"
,,Le zoo (Broché),,http://a.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/1/4/0/9/5/9781409558897FS.gif,"[""Usborne Publishing"", ""Autocollants Usborne""]",Paru le : 23/05/2013,Sam Taplin,Collectif,,Des dizaines d'animaux différents sont à découvrir dans ce livre ludique. Utilise les autocollants des pages centrales pour donner vie au zoo.,"Date de parution : 23/05/2013 Editeur : Usborne Publishing Collection : Autocollants Usborne ISBN : 1-4095-5889-7 EAN : 9781409558897 Présentation : Broché Nb. de pages : 16 pages Poids : 0,193 Kg Dimensions : 21,2 cm × 27,8 cm × 0,6 cm","Livres > Jeunesse > Jeux, loisirs & activités > Livres > Jeunesse > Jeux, loisirs & activités > Jeux pour enfants > Livres > Jeunesse > Jeux, loisirs & activités > Jeux pour enfants > Coloriages, gommettes & autocollants > Livres > Loisirs, nature & voyages > Sports & jeux > Jeux pour enfants > Livres > Loisirs, nature & voyages > Sports & jeux > Jeux pour enfants > Coloriages, gommettes & autocollants >"
,,Les Mille et une nuits illustrées (Relié),,http://a.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/1/4/0/9/5/9781409558903FS.gif,Usborne,Paru le : 23/05/2013,Anna Milbourne,Collectif,,"Somptueusement illustré, avec de belles images aux couleurs intenses et des illustrations pleine page. · Une sélection des contes des Mille et une nuits adaptés pour les jeunes lecteurs. · Ali Baba et les quarante voleurs, Aladin et la lampe magique, les Voyages de Sindbad le marin… · Avec un bref historique des origines des contes des Mille et une nuits.","Date de parution : 23/05/2013 Editeur : Usborne ISBN : 1-4095-5890-3 EAN : 9781409558903 Présentation : Relié Nb. de pages : 312 pages Poids : 0,885 Kg Dimensions : 16,4 cm × 20,2 cm × 4,2 cm",Livres > Jeunesse > Albums 0-6 ans > Livres > Jeunesse > Albums 0-6 ans > Contes & légendes 3-6 ans > Livres > Jeunesse > Albums 0-6 ans > Contes & légendes 3-6 ans > Grands textes illustrés >
,,"Je trace, j'efface - Premiers dessins (Broché)",,http://a.decitre.di-static.com/media/catalog/product/cache/1/image/200x303/9df78eab33525d08d6e5fb8d27136e95/9/7/8/1/4/0/9/5/9781409559771FS.gif,Usborne Publishing,Paru le : 27/06/2013,Stacey Lamb,Rose Rociola (Traducteur),,Un livre amusant pour encourager les jeunes enfants à manipuler le crayon et à dessiner.,"Date de parution : 27/06/2013 Editeur : Usborne Publishing ISBN : 1-4095-5977-1 EAN : 9781409559771 Présentation : Broché Nb. de pages : 22 pages Poids : 0,21 Kg Dimensions : 22,2 cm × 27,7 cm × 2,3 cm","Livres > Jeunesse > Jeux, loisirs & activités > Livres > Jeunesse > Jeux, loisirs & activités > Jeux pour enfants > Livres > Jeunesse > Jeux, loisirs & activités > Jeux pour enfants > Coloriages, gommettes & autocollants > Livres > Loisirs, nature & voyages > Sports & jeux > Jeux pour enfants > Livres > Loisirs, nature & voyages > Sports & jeux > Jeux pour enfants > Coloriages, gommettes & autocollants >"
