pub_date,link_to_book/_text,link_to_book,author,publisher
05/04/2012,Les cornes d'ivoire Tome 1 Afirik,http://www.decitre.fr/livres/les-cornes-d-ivoire-tome-1-afirik-9782266225052.html,Lorris Murail,"[""Pocket Jeunesse"", ""Grand Format""]"
05/04/2012,"Wakfu, les kamas de la soif N° 2",http://www.decitre.fr/revues/wakfu-les-kamas-de-la-soif-n-2-9782359102666.html,"Isabelle Bauthian, Wuye Changjie","[""Ankama"", ""E-book""]"
05/04/2012,Ma maman est comme ça,http://www.decitre.fr/livres/ma-maman-est-comme-ca-9782940456352.html,"Sandrine Beau, Soufie",Limonade (Editions)
05/04/2012,Mon papa est comme ci,http://www.decitre.fr/livres/mon-papa-est-comme-ci-9782940456369.html,"Sandrine Beau, Soufie",Limonade (Editions)
05/04/2012,"Dis, papa...",http://www.decitre.fr/livres/dis-papa-9782747039147.html,"Jean-Hugues Malineau, Jean-Charles Rousseau","[""Bayard Jeunesse"", ""Jeunesse""]"
05/04/2012,Quatre petits coins de rien du tout,http://www.decitre.fr/livres/quatre-petits-coins-de-rien-du-tout-9782871427803.html,Jérôme Ruillier,"[""Mijade"", ""Jeunesse""]"
05/04/2012,Jour de vote à Sabana,http://www.decitre.fr/livres/jour-de-vote-a-sabana-9782352630722.html,"Sandrine Dumas Roy, Bruno Robert","[""Ricochet (Editions du)"", ""Jeunesse""]"
05/04/2012,Ma petite soeur et moi en vacances,http://www.decitre.fr/livres/ma-petite-soeur-et-moi-en-vacances-9782070642434.html,Jenny Valentine,Gallimard jeunesse
05/04/2012,Mireille l'Abeille. Edition collector,http://www.decitre.fr/livres/mireille-l-abeille-9782070646098.html,Antoon Krings,Gallimard Jeunesse Giboulées
05/04/2012,Belle la Coccinelle,http://www.decitre.fr/livres/belle-la-coccinelle-9782070646104.html,Antoon Krings,"[""Gallimard Jeunesse Giboulées"", ""Jeunesse""]"
05/04/2012,Mon imagier du jardin,http://www.decitre.fr/livres/mon-imagier-du-jardin-9782092537824.html,Nathalie Choux,Nathan
05/04/2012,Mon super cahier d'activités,http://www.decitre.fr/livres/mon-super-cahier-d-activites-9782092537947.html,Thierry Courtin,Nathan
05/04/2012,Les P'tites Poules Pas de poules mouillées au poulailler !,http://www.decitre.fr/livres/les-p-tites-poules-pas-de-poules-mouillees-au-poulailler-9782266223065.html,"Christian Jolibois, Christian Heinrich","[""Pocket Jeunesse"", ""E-book""]"
05/04/2012,Circus,http://www.decitre.fr/livres/circus-9782353254040.html,Mikaël,Clair de Lune (Editions)
