link_to_book/_text,link_to_book,format/_text,link_to_book/_title,cover_image
Les félins,http://www.amazon.fr/f%C3%A9lins-Gallimard-Jeunesse/dp/2070662632/ref=sr_1_1/276-7146880-0767231?s=books&ie=UTF8&qid=1422599084&sr=1-1,Broché,Les félins,http://g-ecx.images-amazon.com/images/G/08/x-site/icons/no-img-sm._V192209293_AA200_.gif
Les insectes,http://www.amazon.fr/insectes-Gallimard-Jeunesse/dp/2070662608/ref=sr_1_2/276-7146880-0767231?s=books&ie=UTF8&qid=1422599084&sr=1-2,Broché,Les insectes,http://g-ecx.images-amazon.com/images/G/08/x-site/icons/no-img-sm._V192209293_AA200_.gif
Terre-Dragon: Le chant du fleuve,http://www.amazon.fr/Terre-Dragon-chant-fleuve-LHomme-Erik/dp/2070664228/ref=sr_1_3/276-7146880-0767231?s=books&ie=UTF8&qid=1422599084&sr=1-3,Broché,Terre-Dragon: Le chant du fleuve,http://ecx.images-amazon.com/images/I/51148dEt3UL._AA200_.jpg
La sorcière dans les airs,http://www.amazon.fr/sorci%C3%A8re-dans-airs-Donaldson-Julia/dp/2070661172/ref=sr_1_4/276-7146880-0767231?s=books&ie=UTF8&qid=1422599084&sr=1-4,Broché,La sorcière dans les airs,http://g-ecx.images-amazon.com/images/G/08/x-site/icons/no-img-sm._V192209293_AA200_.gif
Cucu la praline n'a pas froid aux yeux,http://www.amazon.fr/Cucu-praline-pas-froid-yeux/dp/2070661156/ref=sr_1_5/276-7146880-0767231?s=books&ie=UTF8&qid=1422599084&sr=1-5,Poche,Cucu la praline n'a pas froid aux yeux,http://g-ecx.images-amazon.com/images/G/08/x-site/icons/no-img-sm._V192209293_AA200_.gif
Motordu papa,http://www.amazon.fr/Motordu-papa-Pef/dp/2070664368/ref=sr_1_6/276-7146880-0767231?s=books&ie=UTF8&qid=1422599084&sr=1-6,Broché,Motordu papa,http://g-ecx.images-amazon.com/images/G/08/x-site/icons/no-img-sm._V192209293_AA200_.gif
Méli mélo de la Savane,http://www.amazon.fr/M%C3%A9li-m%C3%A9lo-Savane-Scheffler-Axel/dp/2070663914/ref=sr_1_7/276-7146880-0767231?s=books&ie=UTF8&qid=1422599084&sr=1-7,Broché,Méli mélo de la Savane,http://ecx.images-amazon.com/images/I/51qWZ5HcTrL._AA200_.jpg
La petite souris est passée !,http://www.amazon.fr/petite-souris-est-pass%C3%A9e%C2%A0/dp/2070663752/ref=sr_1_8/276-7146880-0767231?s=books&ie=UTF8&qid=1422599084&sr=1-8,Poche,La petite souris est passée !,http://ecx.images-amazon.com/images/I/51cAvNU6zCL._AA200_.jpg
La revue des livres pour enfants: Les tout-petits et leurs livres,http://www.amazon.fr/revue-livres-pour-enfants-tout-petits/dp/2354940610/ref=sr_1_9/276-7146880-0767231?s=books&ie=UTF8&qid=1422599084&sr=1-9,Broché,La revue des livres pour enfants: Les tout-petits et leurs livres,http://ecx.images-amazon.com/images/I/51T%2BzyycMnL._AA200_.jpg
Sur la piste des Indiens,http://www.amazon.fr/Sur-piste-Indiens-Lepetit-Emmanuelle/dp/2070663760/ref=sr_1_10/276-7146880-0767231?s=books&ie=UTF8&qid=1422599084&sr=1-10,Poche,Sur la piste des Indiens,http://ecx.images-amazon.com/images/I/51bwKcLauFL._AA200_.jpg
