link_to_book/_text,cover_image/_alt,link_to_book,format/_text,link_to_book/_title,format,cover_image
"Le ciel, le soleil et le jour",Détails sur le produit,http://www.amazon.fr/ciel-soleil-jour-Jean-Pierre-VERDET/dp/B003B1EE8O/ref=sr_1_1/280-7845103-5146625?s=books&ie=UTF8&qid=1422600724&sr=1-1,Relié,"Le ciel, le soleil et le jour",http://www.amazon.fr/ciel-soleil-jour-Jean-Pierre-VERDET/dp/B003B1EE8O/ref=sr_1_1_twi_1/280-7845103-5146625?s=books&ie=UTF8&qid=1422600724&sr=1-1,http://ecx.images-amazon.com/images/I/51ewguL1m2L._AA200_.jpg
"Où est mon doudou ?: 6 volets à soulever, 7 sons à écouter",Détails sur le produit,http://www.amazon.fr/O%C3%B9-est-mon-doudou%C2%A0-soulever/dp/207065737X/ref=sr_1_2/280-7845103-5146625?s=books&ie=UTF8&qid=1422600724&sr=1-2,Relié,"Où est mon doudou ?: 6 volets à soulever, 7 sons à écouter",http://www.amazon.fr/O%C3%B9-est-mon-doudou%C2%A0-soulever/dp/207065737X/ref=sr_1_2_twi_1/280-7845103-5146625?s=books&ie=UTF8&qid=1422600724&sr=1-2,http://ecx.images-amazon.com/images/I/51UBhL8lTiL._AA200_.jpg
Les plus belles histoires pour les enfants de 6 ans,Détails sur le produit,http://www.amazon.fr/plus-belles-histoires-pour-enfants/dp/2070660915/ref=sr_1_3/280-7845103-5146625?s=books&ie=UTF8&qid=1422600724&sr=1-3,Relié,Les plus belles histoires pour les enfants de 6 ans,http://www.amazon.fr/plus-belles-histoires-pour-enfants/dp/2070660915/ref=sr_1_3_twi_1/280-7845103-5146625?s=books&ie=UTF8&qid=1422600724&sr=1-3,http://ecx.images-amazon.com/images/I/51hIj-U-1YL._AA200_.jpg
Les 30 plus belles histoires pour les tout-petits,Détails sur le produit,http://www.amazon.fr/plus-belles-histoires-pour-tout-petits/dp/2070662756/ref=sr_1_4/280-7845103-5146625?s=books&ie=UTF8&qid=1422600724&sr=1-4,Relié,Les 30 plus belles histoires pour les tout-petits,http://www.amazon.fr/plus-belles-histoires-pour-tout-petits/dp/2070662756/ref=sr_1_4_twi_1/280-7845103-5146625?s=books&ie=UTF8&qid=1422600724&sr=1-4,http://ecx.images-amazon.com/images/I/418iKaHBwjL._AA200_.jpg
Le Trésor de l'enfance,Détails sur le produit,http://www.amazon.fr/Tr%C3%A9sor-lenfance-Collectif/dp/2070659259/ref=sr_1_5/280-7845103-5146625?s=books&ie=UTF8&qid=1422600724&sr=1-5,Relié,Le Trésor de l'enfance,http://www.amazon.fr/Tr%C3%A9sor-lenfance-Collectif/dp/2070659259/ref=sr_1_5_twi_1/280-7845103-5146625?s=books&ie=UTF8&qid=1422600724&sr=1-5,http://ecx.images-amazon.com/images/I/41XiooRuB2L._AA200_.jpg
Les 30 plus belles chansons françaises,Détails sur le produit,http://www.amazon.fr/30-plus-belles-chansons-fran%C3%A7aises/dp/2070659305/ref=sr_1_6/280-7845103-5146625?s=books&ie=UTF8&qid=1422600724&sr=1-6,Relié,Les 30 plus belles chansons françaises,http://www.amazon.fr/30-plus-belles-chansons-fran%C3%A7aises/dp/2070659305/ref=sr_1_6_twi_1/280-7845103-5146625?s=books&ie=UTF8&qid=1422600724&sr=1-6,http://ecx.images-amazon.com/images/I/51BbsDwLeHL._AA200_.jpg
Le tour du monde des tout-petits: Mon premier imagier interactif,Détails sur le produit,http://www.amazon.fr/tour-monde-tout-petits-premier-interactif/dp/2070659488/ref=sr_1_7/280-7845103-5146625?s=books&ie=UTF8&qid=1422600724&sr=1-7,Relié,Le tour du monde des tout-petits: Mon premier imagier interactif,http://www.amazon.fr/tour-monde-tout-petits-premier-interactif/dp/2070659488/ref=sr_1_7_twi_1/280-7845103-5146625?s=books&ie=UTF8&qid=1422600724&sr=1-7,http://ecx.images-amazon.com/images/I/518QXYC18dL._AA200_.jpg
Les 20 plus belles histoires à lire le soir,Détails sur le produit,http://www.amazon.fr/plus-belles-histoires-lire-soir/dp/2070659232/ref=sr_1_8/280-7845103-5146625?s=books&ie=UTF8&qid=1422600724&sr=1-8,Relié,Les 20 plus belles histoires à lire le soir,http://www.amazon.fr/plus-belles-histoires-lire-soir/dp/2070659232/ref=sr_1_8_twi_1/280-7845103-5146625?s=books&ie=UTF8&qid=1422600724&sr=1-8,http://ecx.images-amazon.com/images/I/51mqFUP1kVL._AA200_.jpg
Les 15 plus belles histoires pour les petits garçons,Détails sur le produit,http://www.amazon.fr/plus-belles-histoires-petits-gar%C3%A7ons/dp/2070659224/ref=sr_1_9/280-7845103-5146625?s=books&ie=UTF8&qid=1422600724&sr=1-9,Relié,Les 15 plus belles histoires pour les petits garçons,http://www.amazon.fr/plus-belles-histoires-petits-gar%C3%A7ons/dp/2070659224/ref=sr_1_9_twi_1/280-7845103-5146625?s=books&ie=UTF8&qid=1422600724&sr=1-9,http://ecx.images-amazon.com/images/I/51WTkEkqANL._AA200_.jpg
Baleines et dauphins,Détails sur le produit,http://www.amazon.fr/Baleines-dauphins-Collectif/dp/2070653048/ref=sr_1_10/280-7845103-5146625?s=books&ie=UTF8&qid=1422600724&sr=1-10,Relié,Baleines et dauphins,http://www.amazon.fr/Baleines-dauphins-Collectif/dp/2070653048/ref=sr_1_10_twi_1/280-7845103-5146625?s=books&ie=UTF8&qid=1422600724&sr=1-10,http://ecx.images-amazon.com/images/I/5161R%2BfW9QL._AA200_.jpg
