"collection1"
"title","format","pubdate","authors.href","authors.text","publisher"
"Un milione di farfalle","Copertina rigida","– 3 ott 2007","http://www.amazon.it/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Edward+Van+de+Vendel&search-alias=english-books","di
Edward Van de Vendel 
(Autore), 
Carll Cneut 
(Autore), 
S. De Waal 
(Traduttore)
& 
0
altro","Editore: Adelphi (3 ottobre 2007)"
"Angela e Gesù Bambino","Copertina rigida","– 12 set 2007","http://www.amazon.it/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Frank+McCourt&search-alias=english-books","di
Frank McCourt 
(Autore), 
S. Benini Pietromarchi 
(Illustratore), 
C. V. Letizia 
(Traduttore)
& 
0
altro","Editore: Adelphi (12 settembre 2007)"
"La conferenza degli uccelli","Copertina rigida","– 20 mar 2013","http://www.amazon.it/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Peter+S%C3%ADs&search-alias=english-books","di
Peter Sís 
(Autore), 
L. Signorini 
(Traduttore)","Editore: Adelphi (20 marzo 2013)"
"Il principe infelice e altre storie per bambini","Copertina flessibile","– 6 ott 2004","http://www.amazon.it/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Tommaso+Landolfi&search-alias=english-books","di
Tommaso Landolfi 
(Autore)","Editore: Adelphi (6 ottobre 2004)"
"Cuore di carta","Copertina rigida","– 3 nov 2004","http://www.amazon.it/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Carll+Cneut&search-alias=english-books","di
Carll Cneut 
(Autore), 
Carl Norac 
(Autore), 
G. Pinotti 
(Traduttore)
& 
0
altro","Editore: Adelphi (3 novembre 2004)"
"Plif e Plof","Copertina rigida","– 2 apr 2003","http://www.amazon.it/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Wilhelm+Busch&search-alias=english-books","di
Wilhelm Busch 
(Autore), 
E. Dell'Anna Ciancia 
(Traduttore)","Editore: Adelphi (2 aprile 2003)"
"La principessa dalle lenticchie e altri racconti (senza lenticchie)","Copertina rigida","– 9 ott 2002","http://www.amazon.it/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Sergio+Tofano&search-alias=english-books","di
Sergio Tofano 
(Autore)","Editore: Adelphi (9 ottobre 2002)"
"Jacob Due-Due e il dinosauro","Copertina flessibile","– 1 set 2004","http://www.amazon.it/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Mordecai+Richler&search-alias=english-books","di
Mordecai Richler 
(Autore), 
N. Eyolfson 
(Illustratore), 
C. V. Letizia 
(Traduttore)
& 
0
altro","Editore: Adelphi (1 settembre 2004)"
"Il segreto dell'usignolo","Copertina rigida","– 7 ott 2009","http://www.amazon.it/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Peter+Verhelst&search-alias=english-books","di
Peter Verhelst 
(Autore), 
Carll Cneut 
(Autore), 
S. De Waal 
(Traduttore)
& 
0
altro","Editore: Adelphi (7 ottobre 2009)"
"Il sartorello coraggioso","Copertina rigida","– 17 apr 2002","http://www.amazon.it/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=M.+Belardetti&search-alias=english-books","di
M. Belardetti 
(Traduttore)","Editore: Adelphi (17 aprile 2002)"
"Jacob Due-Due agente segreto","Copertina flessibile","– 31 ago 2005","http://www.amazon.it/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Mordecai+Richler&search-alias=english-books","di
Mordecai Richler 
(Autore), 
N. Eyolfson 
(Illustratore), 
C. V. Letizia 
(Traduttore)
& 
0
altro","Editore: Adelphi (31 agosto 2005)"
"Mostro, non mangiarmi!","Copertina rigida","– 4 ott 2006","http://www.amazon.it/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Carl+Norac&search-alias=english-books","di
Carl Norac 
(Autore), 
Carll Cneut 
(Autore), 
G. Pinotti 
(Traduttore)
& 
0
altro","Editore: Adelphi (4 ottobre 2006)"
"Fiabe","Copertina flessibile","– 12 mag 1999","http://www.amazon.it/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Jacob+Grimm&search-alias=english-books","di
Jacob Grimm 
(Autore), 
Wilhelm Grimm 
(Autore), 
I. Landolfi 
(a cura di), 
T. Landolfi 
(Traduttore)
& 
1
altro","Editore: Adelphi; 2 edizione (12 maggio 1999)"
"Le più belle fiabe delle Mille e una notte","Copertina rigida","– 20 set 2006","http://www.amazon.it/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Arnica+Esterl&search-alias=english-books","di
Arnica Esterl 
(Autore), 
O. Dugina 
(Illustratore), 
T. Codignola 
(Traduttore)
& 
0
altro","Editore: Adelphi (20 settembre 2006)"
"Qui comincia la sventura del signor Bonaventura","Copertina flessibile","– 26 apr 1995","http://www.amazon.it/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Sergio+Tofano&search-alias=english-books","di
Sergio Tofano 
(Autore), 
A. Tinterri 
(a cura di)","Editore: Adelphi (26 aprile 1995)"
"Decora torte e dolci delle feste","Copertina rigida","– 11 giu 2014","http://www.amazon.it/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Abigail+Wheatley&search-alias=english-books","di
Abigail Wheatley 
(Autore), 
Francesca Carabelli 
(Autore), 
D. Prosperi 
(Traduttore)
& 
0
altro","Editore: Usborne Publishing (11 giugno 2014)"

