image,book_page_url,title,pub_date,series,author,isbn,format,publisher,language,page,title,category
http://ecx.images-amazon.com/images/I/31gjdPZSHLL._AA160_.jpg,http://www.amazon.it/streghetta-Birib%C3%B2-Anna-M-Civati/dp/886771032X/ref=sr_1_1/279-2284835-3555505?s=books&ie=UTF8&qid=1414921819&sr=1-1,La streghetta Biribò,– 1 gen 2030,Collana: Dai 3 ai 6 anni,di Anna M. Civati (Autore),ISBN-13: 978-8867710324,Copertina flessibile,Editore: Il Ciliegio (1 gennaio 2030),Lingua: Italiano,Copertina flessibile: 24 pagine,La streghetta Biribò,Libri > Libri per bambini e ragazzi > Libri illustrati
http://ecx.images-amazon.com/images/I/51FLzt1Ci5L._AA160_.jpg,http://www.amazon.it/libro-della-buonanotte-Taplin-Sam/dp/1409515729/ref=sr_1_2/279-2284835-3555505?s=books&ie=UTF8&qid=1414921819&sr=1-2,Il libro della buonanotte,– 1 giu 2011,,"di Taplin Sam (Autore), F. Di Chiara (Illustratore)",ISBN-13: 978-1409515722,Copertina rigida,Editore: USBORNE PUBLISHING (1 giugno 2011),Lingua: Italiano,Copertina rigida: 12 pagine,Il libro della buonanotte,Libri > Libri per bambini e ragazzi > Libri illustrati
http://ecx.images-amazon.com/images/I/51sW6GpmJFL._AA160_.jpg,http://www.amazon.it/Madame-Butterfly-Benjamin-Lacombe/dp/8817076406/ref=sr_1_3/279-2284835-3555505?s=books&ie=UTF8&qid=1414921819&sr=1-3,Madame Butterfly,– 27 ago 2014,Collana: Album,"di Benjamin Lacombe (Autore), F. Fabbri (Traduttore)",ISBN-13: 978-8817076401,Copertina rigida,Editore: Rizzoli (27 agosto 2014),Lingua: Italiano,Copertina rigida: 72 pagine,Madame Butterfly,Libri > Libri per bambini e ragazzi > Letteratura e narrativa
http://ecx.images-amazon.com/images/I/61omJQIEOKL._AA160_.jpg,http://www.amazon.it/Topo-Tip-regole-sono-importanti/dp/8809798287/ref=sr_1_4/279-2284835-3555505?s=books&ie=UTF8&qid=1414921819&sr=1-4,Topo Tip. Le regole sono importanti,– 22 ott 2014,Collana: Topo Tip Cartoon,di Valentina Mazzola (Autore),ISBN-13: 978-8809798281,Copertina rigida,Editore: Giunti Kids (22 ottobre 2014),Lingua: Italiano,Copertina rigida: 32 pagine,Topo Tip. Le regole sono importanti,"Libri > Libri per bambini e ragazzi > Famiglia, problemi personali e sociali Libri > Libri per bambini e ragazzi > Libri illustrati"
http://ecx.images-amazon.com/images/I/512LTFkWSYL._AA160_.jpg,http://www.amazon.it/Dragon-Trainer-2-storia-illustrata/dp/8891508772/ref=sr_1_5/279-2284835-3555505?s=books&ie=UTF8&qid=1414921819&sr=1-5,Dragon Trainer 2. La storia illustrata,– 1 gen 2030,Collana: Varia 6-9 anni,di Dreamworks (Autore),ISBN-13: 978-8891508775,Copertina flessibile,Editore: Fabbri (1 gennaio 2030),Lingua: Italiano,Copertina flessibile,Dragon Trainer 2. La storia illustrata,"Libri > Libri per bambini e ragazzi > Fantascienza, Horror e Fantasy > Fantasy Libri > Libri per bambini e ragazzi > Libri illustrati"
http://ecx.images-amazon.com/images/I/61I%2BrHJ1KOL._AA160_.jpg,http://www.amazon.it/1000-trovare-paese-pirati-adesivi/dp/1409581098/ref=sr_1_6/279-2284835-3555505?s=books&ie=UTF8&qid=1414921819&sr=1-6,1000 cose da trovare nel paese dei pirati. Con adesivi,– 27 ago 2014,,"di Rob Lloyd Jones (Autore), Teri Gower (Autore), P. A. Livorati (Traduttore) & 0 altro",ISBN-13: 978-1409581093,Copertina flessibile,Editore: Usborne Publishing (27 agosto 2014),,Copertina flessibile: 32 pagine,1000 cose da trovare nel paese dei pirati. Con adesivi,Libri > Libri per bambini e ragazzi > Libri interattivi
http://g-ecx.images-amazon.com/images/G/29/x-site/icons/no-img-lg._AA160_.gif,http://www.amazon.it/I-puffi-Lintegrale-2-Peyo/dp/8897965423/ref=sr_1_7/279-2284835-3555505?s=books&ie=UTF8&qid=1414921819&sr=1-7,I puffi. L'integrale: 2,– 1 gen 2030,,di Peyo (Autore),ISBN-13: 978-8897965428,Copertina flessibile,Editore: Linea Chiara (1 gennaio 2030),,Copertina flessibile,I puffi. L'integrale: 2,Libri > Libri per bambini e ragazzi > Fumetti e manga
http://ecx.images-amazon.com/images/I/51KeyRAqFXL._AA160_.jpg,http://www.amazon.it/piccolo-tigrotto-piccoli-libri-sonori/dp/8891508780/ref=sr_1_8/279-2284835-3555505?s=books&ie=UTF8&qid=1414921819&sr=1-8,"Dove sei, piccolo tigrotto? I miei piccoli libri sonori",– 17 set 2014,Collana: I miei piccoli libri sonori,"di Marion Billet (Autore), M. Arnould (a cura di)",ISBN-13: 978-8891508782,Copertina rigida,Editore: Fabbri (17 settembre 2014),Lingua: Italiano,Copertina rigida: 12 pagine,"Dove sei, piccolo tigrotto? I miei piccoli libri sonori","Libri > Libri per bambini e ragazzi > Libri interattivi Libri > Libri per bambini e ragazzi > Scienze, natura e tecnologia"
http://ecx.images-amazon.com/images/I/51l-wXRlRzL._AA160_.jpg,http://www.amazon.it/Annalilla-Matteo-Corradini/dp/8817076376/ref=sr_1_9/279-2284835-3555505?s=books&ie=UTF8&qid=1414921819&sr=1-9,Annalilla,– 27 ago 2014,,di Matteo Corradini (Autore),ISBN-13: 978-8817076371,Copertina rigida,Editore: Rizzoli (27 agosto 2014),Lingua: Italiano,Copertina rigida: 312 pagine,Annalilla,Libri > Libri per bambini e ragazzi > Letteratura e narrativa
http://ecx.images-amazon.com/images/I/51s9bPW%2BqVL._AA160_.jpg,http://www.amazon.it/Trattori-Fiona-Watt/dp/1409542335/ref=sr_1_10/279-2284835-3555505?s=books&ie=UTF8&qid=1414921819&sr=1-10,Trattori,– 27 ago 2014,Collana: Carezza i libri,"di Fiona Watt (Autore), Sue King (Autore)",ISBN-13: 978-1409542339,Copertina rigida,Editore: Usborne Publishing (27 agosto 2014),Lingua: Italiano,Copertina rigida: 10 pagine,Trattori,Libri > Libri per bambini e ragazzi > Libri illustrati Libri > Libri per bambini e ragazzi > Libri interattivi
