title,sub_title,authors,page,publisher,pub_date,spec_1,spec_2,spec_3
N/A,,,,,,,,
Knutselen voor kleine handjes,vanaf 4 jaar,"[""Auteur: Isabelle Bochot"", ""Verkoop door bol.com""]",Deltas Centrale uitgeverij,oktober 2014,,"Productinformatie Auteur Isabelle Bochot Soort Met illustraties Taal Nederlands Afmetingen 30x223x175 mm Gewicht 599,00 gram Geschikt voor 4 - 12 jaar Druk 1 ISBN10 904473993X ISBN13 9789044739930","Je vindt dit boek in Categorieën Kind & Jeugd > Informatieve boeken Leeftijd 3-6 jaar , 6-9 jaar , 9-12 jaar",Nederlands Deltas Centrale uitgeverij oktober 2014
Oefenschrift begrijpend lezen,leuke opdrachten en inhoudsvragen over vrolijke verhaaltjes,"[""Auteur: Hilde Gerard"", ""Verkoop door bol.com""]",Deltas Centrale uitgeverij,juni 2013,,"Productinformatie Auteur Hilde Gerard Illustrator Nick Claes Soort Met illustraties Taal Nederlands Afmetingen 4x225x195 mm Gewicht 116,00 gram Geschikt voor 4 - 12 jaar Druk 1 ISBN10 904473749X ISBN13 9789044737493","Je vindt dit boek in Categorieën Kind & Jeugd > Informatieve boeken Leeftijd 3-6 jaar , 6-9 jaar , 9-12 jaar AVI-leesniveau AVI M5",Nederlands Deltas Centrale uitgeverij juni 2013
Kala de vlinder,,"[""Auteur: Nikky Reece"", ""Verkoop door bol.com""]",Jaylen Books,oktober 2014,,"Productinformatie Auteur Nikky Reece Soort Met illustraties Taal Nederlands Afmetingen 8x216x213 mm Gewicht 237,00 gram Geschikt voor 4 - 12 jaar Druk 1 ISBN10 9491247743 ISBN13 9789491247743","Je vindt dit boek in Categorieën Kind & Jeugd > Informatieve boeken Leeftijd 3-6 jaar , 6-9 jaar , 9-12 jaar",Nederlands Jaylen Books oktober 2014
Insectendetective,leuke feitjes en handige feiten over kleine beestjes,"[""Auteur: Maggie Li"", ""Verkoop door bol.com""]",Kosmos Uitgevers,april 2015,,Productinformatie Auteur Maggie Li Taal Nederlands Geschikt voor 4 - 12 jaar Druk 1 ISBN10 9052109826 ISBN13 9789052109824,"Je vindt dit boek in Categorieën Kind & Jeugd > Informatieve boeken Leeftijd 3-6 jaar , 6-9 jaar , 9-12 jaar",Nederlands Kosmos Uitgevers april 2015
Kris kras Europa,Kris Kras Kombi,"[""Auteur: Onbekend"", ""Verkoop door bol.com""]",LARSEN puzzels,september 2012,,"Productinformatie Auteur Onbekend Soort Met illustraties Taal Nederlands Afmetingen 10x367x284 mm Gewicht 362,00 gram Druk 1 ISBN10 9086643558 ISBN13 9789086643554",Je vindt dit boek in Categorieën Kind & Jeugd > Kind & Jeugd overig,Nederlands LARSEN puzzels september 2012
Max en de maximonsters,lemniscaat kroonjuwelen,"[""Auteur: Maurice Sendak"", ""Verkoop door bol.com""]",Lemniscaat,april 2015,,Productinformatie Auteur Maurice Sendak Redactie Jesse Broekman Illustrator Maurice Sendak Overige betrokkenen L.M. Niskos Soort Met illustraties Taal Nederlands Vertaald uit het Engels Vertaald door L.M. Niskos Oorspronkelijke titel Where The Wild Things Are Geschikt voor 4 - 6 jaar Druk 1 ISBN10 9047702832 ISBN13 9789047702832 Product lengte 125 mm,"Je vindt dit boek in Categorieën Kind & Jeugd > Prentenboeken Trefwoord(en) Angsten , Kattenkwaad , Monsters Leeftijd 3-6 jaar",Nederlands Lemniscaat april 2015
De rode zwaan,,"[""Auteur: Sjoerd Kuyper"", ""Verkoop door bol.com""]",Lemniscaat,februari 2015,,Productinformatie Auteur Sjoerd Kuyper Taal Nederlands Geschikt voor 10 - 12 jaar Druk 1 ISBN10 9047706870 ISBN13 9789047706878,Je vindt dit boek in Categorieën Kind & Jeugd > Romans & Zelf lezen Leeftijd 9-12 jaar,Nederlands Lemniscaat februari 2015
Koning varken,een verhaal met een staartje (zonder krul),"[""Auteur: Koos Meinderts"", ""Verkoop door bol.com""]",Lemniscaat,februari 2015,,"Productinformatie Auteur Koos Meinderts Illustrator Stern Nijland Soort Met illustraties Taal Nederlands Afmetingen 11x332x246 mm Gewicht 553,00 gram Geschikt voor 0 - 6 jaar Druk 1 ISBN10 9047705084 ISBN13 9789047705086","Je vindt dit boek in Categorieën Kind & Jeugd > Prentenboeken Leeftijd 0-6 maanden , 1-2 jaar , 2-3 jaar , 3-6 jaar , 6-12 maanden",Nederlands Lemniscaat februari 2015
Ik ben toch eigenlijk toch wel heel erg een beetje gek op jou...,,"[""Auteur: Sylvia van Ommen"", ""Verkoop door bol.com""]",Lemniscaat,februari 2015,,"Productinformatie Auteur Sylvia van Ommen Soort Met illustraties Taal Nederlands Afmetingen 11x190x157 mm Gewicht 202,00 gram Geschikt voor 0 - 6 jaar Druk 1 ISBN10 9047702689 ISBN13 9789047702689","Je vindt dit boek in Categorieën Kind & Jeugd > Prentenboeken Leeftijd 0-6 maanden , 1-2 jaar , 2-3 jaar , 3-6 jaar , 6-12 maanden",Nederlands Lemniscaat februari 2015
