link_to_book/_source,link_to_book/_text,cover_image/_title,cover_image/_alt,cover_image/_source,link_to_book,link_to_book/_title,cover_image
/nl/p/mzzlmeiden-on-tour/1001004002816660/,MZZLmeiden on tour,MZZLmeiden on tour,MZZLmeiden on tour,//s.s-bol.com/imgbase0/imagebase/thumb/FC/0/6/6/6/1001004002816660.jpg,http://www.bol.com/nl/p/mzzlmeiden-on-tour/1001004002816660/,MZZLmeiden on tour,http://s.s-bol.com/imgbase0/imagebase/thumb/FC/0/6/6/6/1001004002816660.jpg
/nl/p/de-opdracht/9200000038306242/,De opdracht,De opdracht,De opdracht,//s.s-bol.com/imgbase0/imagebase3/thumb/FC/2/4/2/6/9200000038306242.jpg,http://www.bol.com/nl/p/de-opdracht/9200000038306242/,De opdracht,http://s.s-bol.com/imgbase0/imagebase3/thumb/FC/2/4/2/6/9200000038306242.jpg
/nl/p/rotterdam/9200000036349981/,Rotterdam,Rotterdam,Rotterdam,//s.s-bol.com/nl/static/images/main/noimage_124x100default.gif,http://www.bol.com/nl/p/rotterdam/9200000036349981/,Rotterdam,http://s.s-bol.com/nl/static/images/main/noimage_124x100default.gif
/nl/p/huiver/9200000039507629/,Huiver,Huiver,Huiver,//s.s-bol.com/imgbase0/imagebase3/thumb/FC/9/2/6/7/9200000039507629.jpg,http://www.bol.com/nl/p/huiver/9200000039507629/,Huiver,http://s.s-bol.com/imgbase0/imagebase3/thumb/FC/9/2/6/7/9200000039507629.jpg
/nl/p/bezwering/9200000039507562/,Bezwering,Bezwering,Bezwering,//s.s-bol.com/imgbase0/imagebase3/thumb/FC/2/6/5/7/9200000039507562.jpg,http://www.bol.com/nl/p/bezwering/9200000039507562/,Bezwering,http://s.s-bol.com/imgbase0/imagebase3/thumb/FC/2/6/5/7/9200000039507562.jpg
/nl/p/stad-van-beenderen-1/9200000039539544/,Stad van Beenderen / 1,Stad van Beenderen / 1,Stad van Beenderen / 1,//s.s-bol.com/imgbase0/imagebase3/thumb/FC/4/4/5/9/9200000039539544.jpg,http://www.bol.com/nl/p/stad-van-beenderen-1/9200000039539544/,Stad van Beenderen / 1,http://s.s-bol.com/imgbase0/imagebase3/thumb/FC/4/4/5/9/9200000039539544.jpg
/nl/p/bloedverwanten-1/9200000039507647/,Bloedverwanten / 1,Bloedverwanten / 1,Bloedverwanten / 1,//s.s-bol.com/imgbase0/imagebase3/thumb/FC/7/4/6/7/9200000039507647.jpg,http://www.bol.com/nl/p/bloedverwanten-1/9200000039507647/,Bloedverwanten / 1,http://s.s-bol.com/imgbase0/imagebase3/thumb/FC/7/4/6/7/9200000039507647.jpg
/nl/p/de-ijzerlegendes/9200000036494996/,De IJzerlegendes,De IJzerlegendes,De IJzerlegendes,//s.s-bol.com/imgbase0/imagebase3/thumb/FC/6/9/9/4/9200000036494996.jpg,http://www.bol.com/nl/p/de-ijzerlegendes/9200000036494996/,De IJzerlegendes,http://s.s-bol.com/imgbase0/imagebase3/thumb/FC/6/9/9/4/9200000036494996.jpg
/nl/p/pretty-little-liars-7-laster/9200000002272121/,Pretty little liars 7 - Laster,Pretty little liars 7 - Laster,Pretty little liars 7 - Laster,//s.s-bol.com/imgbase0/imagebase/thumb/FC/1/2/1/2/9200000002272121.jpg,http://www.bol.com/nl/p/pretty-little-liars-7-laster/9200000002272121/,Pretty little liars 7 - Laster,http://s.s-bol.com/imgbase0/imagebase/thumb/FC/1/2/1/2/9200000002272121.jpg
/nl/p/behekst/9200000035988892/,Behekst,Behekst,Behekst,//s.s-bol.com/imgbase0/imagebase3/thumb/FC/2/9/8/8/9200000035988892.jpg,http://www.bol.com/nl/p/behekst/9200000035988892/,Behekst,http://s.s-bol.com/imgbase0/imagebase3/thumb/FC/2/9/8/8/9200000035988892.jpg
/nl/p/ontwaken/9200000035988878/,Ontwaken,Ontwaken,Ontwaken,//s.s-bol.com/imgbase0/imagebase3/thumb/FC/8/7/8/8/9200000035988878.jpg,http://www.bol.com/nl/p/ontwaken/9200000035988878/,Ontwaken,http://s.s-bol.com/imgbase0/imagebase3/thumb/FC/8/7/8/8/9200000035988878.jpg
