title,sub_title,authors,title_and_authors_all,book_description,meta_all
Det har oppstått et problem,,,,,
Det har oppstått et problem,,,,,
Det har oppstått et problem,,,,,
Det har oppstått et problem,,,,,
Det har oppstått et problem,,,,,
Det har oppstått et problem,,,,,
Det har oppstått et problem,,,,,
Det har oppstått et problem,,,,,
Det har oppstått et problem,,,,,
Det har oppstått et problem,,,,,
Det har oppstått et problem,,,,,
Det har oppstått et problem,,,,,
Det har oppstått et problem,,,,,
Det har oppstått et problem,,,,,
Det har oppstått et problem,,,,,
Det har oppstått et problem,,,,,
Det har oppstått et problem,,,,,
Frosken og den spesielle dagen,,av   Max Velthuijs   ;  Hanna Midtbø  (Oversetter),Frosken og den spesielle dagenav Max Velthuijs ; Hanna Midtbø (Oversetter),"Dagen i dag er helt spesiell, det har haren sagt. Men frosken anar ikkje kvifor, så han spør vennene sine. Anda seier at det er fredag, grisen seier at det er vaskedag, og rotta seier at kvar dag er spesiell. Men det var ikkje slik haren meinte det, sikkert ikkje . Max Velthuijs er ein verdskjend, prislønt teiknar som lagar vennleg humoristiske bøker om viktige emne. Frosken og vennene hans kan du også lese om i desse bøkene:#11;Den forelska frosken, Frosken og den framande, frosken om vinteren, Frosken er redd, Frosken er ein helt.#11;Frosken er også hovudperson i to kartongbøker for dei aller yngste:#11;Frosken og anda og Frosken og grisen",Utgitt: 2000 Forlag: Samlaget Innb: Innbundet Språk: Norsk Nynorsk Sider: upag ISBN: 9788252155938 Utgave: 1. utg. Emne: Amfibier og krypdyr Selskap Alder: Barn 0-3Barn 3-6
Noahs ark,,av   Nicola Edwards   ;  Kate Davies  (Illustratør) ;  Cecilie Eidsøren Holdø  (Oversetter),Noahs arkav Nicola Edwards ; Kate Davies (Illustratør) ; Cecilie Eidsøren Holdø (Oversetter),Noahs ark Illustrert av kate Davies#11;Skrevet av Nicola Edwards Les en og en side om alle dyra som gikk inn i Noahs ark. Snu boka og finn et utbrett-bilde av den store flodbølgen.,Utgitt: 2000 Forlag: IKO-forl. Innb: Kartonert Språk: Norsk Bokmål Sider: upag ISBN: 9788271125677 Utgave: 1. utg. Genre: Bibelfortellinger Alder: Barn 0-3Barn 3-6
Tassen får en søster,,av   Eric Hill,Tassen får en søsterav Eric Hill,"Tassens mamma og pappa har en overraskelse til ham: En ny, liten søster! Bli med Tassen og vennene hans når de leker huset rundt med lille Tina, som både er søt, leken og ganske rampete!",Utgitt: 1989 Forlag: Cappelen Innb: Innbundet Språk: Norsk Bokmål Sider: upag Format: 22 x 21 cm ISBN: 9788202120757 Utgave: 1. utg. Emne: Hunder Alder: Barn 0-3Barn 3-6
