cover_image,link_to_book,link_to_book/_text
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=2963621&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=2963621,"Plask, plask, Molly"
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=9440154&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=9440154,Ville Hval
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=2963622&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=2963622,Molly på stranden
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=6892552&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=6892552,Lille løve
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=6892551&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=6892551,Kalle Kalv
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=9571395&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=9571395,Lammet
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=10051281&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=10051281,Katie the Kitten
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=5236346&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=5236346,Winnie the Pooh and Tigger
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=1803342&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=1803342,Mini Dictionary
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=9571394&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=9571394,Arken
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=9711742&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=9711742,Wipe-Clean Buggy Buddies: Noises
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=9526303&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=9526303,Blub Boat
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=9526289&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=9526289,Splash Duck
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=9526305&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=9526305,One Little Duck
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=9526291&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=9526291,Splash Whale
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=9526306&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=9526306,One Little Fish
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=9711740&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=9711740,Wipe-Clean Buggy Buddies: Colours
