cover_image,link_to_book,link_to_book/_text
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=10434521&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=10434521,Klemmejakten
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=10565994&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=10565994,Hva sier dyreungene?
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=10453623&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=10453623,Tell med Molly
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=10452810&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=10452810,Peppa leker gjemsel
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=10446283&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=10446283,På fuglebrettet
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=10446280&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=10446280,Elle melle
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=10447539&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=10447539,Den lille larven Aldrimetts babygym
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=10446253&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=10446253,Love fra den lille larven Aldrimett
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=10374242&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=10374242,Finn frakten!
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=10502913&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=10502913,123 med Peppa
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=10492353&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=10492353,Mine kjæledyr
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=10480835&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=10480835,Pål leter etter vennene sine
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=10480834&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=10480834,Verdens søteste dyreunger
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=10569188&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=10569188,Richard Scarrys kjempestore travle bok
