cover_image,link_to_book,link_to_book/_text
http://image.bokus.com/images2/9789143510911_small_baristas-andra-boken,http://www.bokus.com/bok/9789143510911/baristas-andra-boken/,Baristas : Andra boken
http://image.bokus.com/images2/9789163752209_small_viktiga-saker-i-uppsala,http://www.bokus.com/bok/9789163752209/viktiga-saker-i-uppsala/,Viktiga saker i Uppsala
http://image.bokus.com/images2/9789163872358_small_baristastredje-boken,http://www.bokus.com/bok/9789163872358/baristastredje-boken/,Baristas:Tredje boken
http://image.bokus.com/images2/9789187027437_small_en-mordarkatts-dagbok,http://www.bokus.com/bok/9789187027437/en-mordarkatts-dagbok/,En mördarkatts dagbok
http://image.bokus.com/images2/9789198013986_small_det-ar-inte-sa-latt-som-du-tror,http://www.bokus.com/bok/9789198013986/det-ar-inte-sa-latt-som-du-tror/,Det är inte så lätt som du tror
"[""http://image.bokus.com/images2/9789150116427_small_autografjagarna-min-basta-ovan"", ""http://image.bokus.com/images2/9789150116427_small_autografjagarna-min-basta-ovan""]",http://www.bokus.com/bok/9789150116427/autografjagarna-min-basta-ovan/,Autografjägarna. Min bästa ovän
"[""http://image.bokus.com/images2/9789163874734_small_djurfiket"", ""http://image.bokus.com/images2/9789163874734_small_djurfiket""]",http://www.bokus.com/bok/9789163874734/djurfiket/,Djurfiket
"[""http://image.bokus.com/images2/9789172996090_small_astrid-baros-genialiska-plan"", ""http://image.bokus.com/images2/9789172996090_small_astrid-baros-genialiska-plan""]",http://www.bokus.com/bok/9789172996090/astrid-baros-genialiska-plan/,Astrid Baros genialiska plan
"[""http://image.bokus.com/images2/9789172996229_small_fotbollsvanner-de-nya-dojorna"", ""http://image.bokus.com/images2/9789172996229_small_fotbollsvanner-de-nya-dojorna""]",http://www.bokus.com/bok/9789172996229/fotbollsvanner-de-nya-dojorna/,Fotbollsvänner. De nya dojorna
"[""http://image.bokus.com/images2/9789172996410_small_ar-du-dum-pa-riktigt"", ""http://image.bokus.com/images2/9789172996410_small_ar-du-dum-pa-riktigt""]",http://www.bokus.com/bok/9789172996410/ar-du-dum-pa-riktigt/,Är du dum på riktigt?
"[""http://image.bokus.com/images2/9789172996526_small_lilla-fro"", ""http://image.bokus.com/images2/9789172996526_small_lilla-fro""]",http://www.bokus.com/bok/9789172996526/lilla-fro/,Lilla frö
"[""http://image.bokus.com/images2/9789172996533_small_forbaskade-trad"", ""http://image.bokus.com/images2/9789172996533_small_forbaskade-trad""]",http://www.bokus.com/bok/9789172996533/forbaskade-trad/,Förbaskade träd!
"[""http://image.bokus.com/images2/9789174431148_small_maaal"", ""http://image.bokus.com/images2/9789174431148_small_maaal""]",http://www.bokus.com/bok/9789174431148/maaal/,Mååål!
"[""http://image.bokus.com/images2/9789174514407_small_gammelfarmors-chiffonje"", ""http://image.bokus.com/images2/9789174514407_small_gammelfarmors-chiffonje""]",http://www.bokus.com/bok/9789174514407/gammelfarmors-chiffonje/,Gammelfarmors chiffonjé
"[""http://image.bokus.com/images2/9789175430690_small_en-varldsomsegling-under-havet"", ""http://image.bokus.com/images2/9789175430690_small_en-varldsomsegling-under-havet""]",http://www.bokus.com/bok/9789175430690/en-varldsomsegling-under-havet/,En världsomsegling under havet
"[""http://image.bokus.com/images2/9789175770291_small_mina-foraldrar-skall-skiljas"", ""http://image.bokus.com/images2/9789175770291_small_mina-foraldrar-skall-skiljas""]",http://www.bokus.com/bok/9789175770291/mina-foraldrar-skall-skiljas/,Mina föräldrar skall skiljas
"[""http://image.bokus.com/images2/9789198000283_small_lilla-landslaget"", ""http://image.bokus.com/images2/9789198000283_small_lilla-landslaget""]",http://www.bokus.com/bok/9789198000283/lilla-landslaget/,Lilla landslaget
"[""http://image.bokus.com/images2/9789127137523_small_hur-du-stjal-en-drakes-svard"", ""http://image.bokus.com/images2/9789127137523_small_hur-du-stjal-en-drakes-svard""]",http://www.bokus.com/bok/9789127137523/hur-du-stjal-en-drakes-svard/,Hur du stjäl en drakes svärd
"[""http://image.bokus.com/images2/9789127138414_small_mollys-traktor"", ""http://image.bokus.com/images2/9789127138414_small_mollys-traktor""]",http://www.bokus.com/bok/9789127138414/mollys-traktor/,Mollys traktor
"[""http://image.bokus.com/images2/9789127138421_small_mollys-flygplan"", ""http://image.bokus.com/images2/9789127138421_small_mollys-flygplan""]",http://www.bokus.com/bok/9789127138421/mollys-flygplan/,Mollys flygplan
"[""http://image.bokus.com/images2/9789163737190_small_sag-katt"", ""http://image.bokus.com/images2/9789163737190_small_sag-katt""]",http://www.bokus.com/bok/9789163737190/sag-katt/,Säg katt!
