0/pub_date,0/author,0/isbn,0/publisher,0/language,0/title,0/isbn/0,0/isbn/1
出版日期：2013/05/01,小風幸,ISBN：9789862113646,出版地：台灣,語言：繁體中文,鱷魚愛洗澡(二版),,
出版日期：2011/03/01,村上八千世,ISBN：9789862112076,出版地：台灣,語言：繁體中文,你會上學校的廁所嗎？,,
出版日期：2008/11/05,中川宏貴,ISBN：9789862110522,出版地：台灣,語言：繁體中文,番薯大作戰,,
出版日期：2012/04/01,增田裕子,ISBN：9789862112878,出版地：台灣,語言：繁體中文,小豬上街買東西,,
出版日期：2012/09/01,小風幸,ISBN：9789862113226,出版地：台灣,語言：繁體中文,鱷魚受傷了,,
,曹俊彥/圖文,ISBN：9789862111611,出版地：台灣,,白白．黑黑和花花,,
出版日期：2011/07/01,神澤利子,ISBN：9789862112373,出版地：台灣,語言：繁體中文,蛋寶寶,,
,蔡淑媖,ISBN：9789574903504,出版地：台灣,,為孩子說故事：大聲讀給寶寶聽,,
出版日期：2013/04/01,中川千尋,ISBN：9789862113622,出版地：台灣,語言：繁體中文,小小人兒來幫忙,,
,曹俊彥/圖文,ISBN：9789862111215,出版地：台灣,,你一半，我一半,,
出版日期：2012/05/10,增田裕子,ISBN：9789862112908,出版地：台灣,語言：繁體中文,小熊走鋼索,,
出版日期：2008/08/01,宮西達也/圖文,ISBN：9789862110447,出版地：台灣,語言：繁體中文,明天的我,,
出版日期：2009/08/05,宮西達也,ISBN：9789862111123,出版地：台灣,語言：繁體中文,甲龍寶寶,,
出版日期：2008/11/14,松岡達英,,出版地：台灣,語言：繁體中文,蹦！,《蹦》是如何讓三個不滿一歲的小小孩樂在其中啊？！ 文／寶妹2009年11月04日 前二天，同事小如臉帶幸福的問我：「你知道《蹦》這本書嗎？」我回：「知道，它就小小本，很多動物蹦不停。」小如說：「對啊！我的小孩好愛這本書，每次看《蹦》他就咯咯笑不停，百看不厭呢！」「他幾歲？」「七個月。瞧他笑的樣子，也不知他看不看得懂？」「重點不在他懂不懂，而是他感受到你對他的愛， more,ISBN：9789862110652
出版日期：2010/04/01,增田裕子,ISBN：9789862111529,出版地：台灣,語言：繁體中文,喵醫生,,
出版日期：2010/04/01,增田裕子,,出版地：台灣,語言：繁體中文,了不起！了不起！,「了不起！了不起！誰最了不起？」0~6歲孩子異口同聲：「我知道，讓我告訴你。」 文／寶妹2010年04月19日 今天面對的小朋友有一半是0~3歲寶寶，為了不讓寶寶們覺得被忽略，也避免3~6歲的哥哥姊姊覺得無聊，我挑選二本可讓這群孩子聽的盡興的書──《了不起！了不起！》、《創意帽子屋》。 首先登場的是《了不起！了不起！》。這本書一開始即切入主題「[b]了不起、了不起，鞋子真是了不起！」「為什麼鞋 more,ISBN：9789862111505
出版日期：2010/08/01,白井三香子,,出版地：台灣,語言：繁體中文,大猩猩的麵包店,不是麵包不好吃！是是……是師傅太恐怖啦！ 文／菜小配2010年08月11日 好香好香的麵包唷！這個不錯、那個不錯、那邊那個看起來也好好吃！ 「吼~歡迎光臨！新鮮的麵包剛出爐囉！」 哇~哪來的打雷聲，原來是麵包師傅，耶？是大猩猩！我我……我不敢買麵包啦！ 以前讀書時朋友說小編不愛笑，臉都看起來都臭臭的，這時候小編就會回說：「因為我生來就是長這樣。 more,ISBN：9789862111741
出版日期：2011/05/01,岸田衿子,ISBN：9789862112182,出版地：台灣,語言：繁體中文,吃掉了什麼？,,
出版日期：2008/04/05,中川敬三,,出版地：台灣,語言：繁體中文,小偵探找一找?,《小偵探找一找？》讓孩子的小腦袋瓜不停地轉啊轉~ 文／寶妹2008年04月15日 從我看《小偵探找一找？》眼珠就一直咕嚕咕嚕的轉，整個人都要貼在書頁上，越看眉頭越緊......。孩子好奇了，直嚷嚷的也要看。我便與孩子一同看《小偵探找一找？》。 「臭臭！是誰在放屁？」一翻開書頁，即可看到問句。我和小朋友一起仔細觀察書頁上不同動物的表情，年紀稍大的孩子很快就說出放臭 more,ISBN：9789862110249
出版日期：2014/07/05,大衛．格雷伯,ISBN：9789862726075,出版地：台灣,語言：繁體中文,為什麼上街頭？新公民運動的歷史、危機和進程,,
出版日期：2014/09/01,J.J. 亞伯拉罕,ISBN：9789869014946,出版地：台灣,語言：繁體中文,S. 【中文版全球獨家收藏盒】,,
,林尚德,ISBN：9789865953850,出版地：台灣,,運用心智圖，72小時5000單：連美國教授都愛用的英語單字學習法（附贈作者完全解說教學光碟，全長超過300 分鐘）,,
,施翔程,ISBN：9789571176529,出版地：台灣,,作文課後：這樣寫會更好,,
出版日期：2014/06/01,歐文．霍普金斯/著,ISBN：9789573274292,出版地：台灣,語言：繁體中文,閱讀建築的72個方式,,
,Fion強雅貞,ISBN：9789868875593,出版地：台灣,,我想記得你現在的樣子：Fion寫給孩子的生活日記,,
出版日期：2014/08/01,瑞秋．泰勒,ISBN：9789573273493,出版地：台灣,語言：繁體中文,45個簡單隨手畫的小練習：900種圖形一次學會,,
出版日期：2014/07/03,布芮尼．布朗,ISBN：9789865722180,出版地：台灣,語言：繁體中文,我已經夠好了：克服自卑！從「擔心別人怎麼想」，到「勇敢做自己」,,
,劉必榮,ISBN：9789861342276,出版地：台灣,,國際觀的第一本書：看世界的方法（全新增訂版）,,
,鄧文淵/總監製,ISBN：9789863471424,,,翻倍效率工作術：不會就太可惜的 Excel 必學函數,,
,喂，wei/圖文,ISBN：9789868728035,,,吃了花的男孩/不吃花的女孩,,
出版日期：2014/08/01,Ellie Oh,ISBN：9789861793382,出版地：台灣,語言：繁體中文,改過自新學英文(隨書附情境MP3),,
,王昶閔,ISBN：9789863205289,出版地：台灣,,永遠的俠醫：台灣良心林杰樑,,
出版日期：2014/07/02,邱瑞秋/作者,ISBN：9789869055758,出版地：台灣,語言：繁體中文,我的小小法國廚房：100道上山下海，足跡遍布法國的法式佳餚,,
出版日期：2014/06/19,元素周期研究會/編,ISBN：9789865956981,出版地：台灣,語言：繁體中文,原子有話要說！元素週期表 【原子公寓圖解版】,,
,史丹利,ISBN：9789869105224,出版地：台灣,,史丹利來去夏威夷,,
出版日期：2014/08/25,馬克．歐杰,ISBN：9789869087711,,語言：繁體中文,巴黎地鐵上的人類學家,,
,出口仁,ISBN：9789866703812,出版地：台灣,,大家學標準日本語【每日一句】旅行會話篇（附 東京標準音MP3）,,
出版日期：2014/09/22,利安德．凱尼,ISBN：9789571360614,出版地：台灣,語言：繁體中文,蘋果設計的靈魂：強尼．艾夫傳〔附全彩年表〕,,
,一木,ISBN：9789571360157,出版地：台灣,,大秦皇陵 卷三 不死鬼村,,
,謝宗翰,ISBN：9789869062039,出版地：台灣,,淋巴代謝瘦全身：神奇彈力帶刺激淋巴代謝，淋巴暢通一定瘦！(隨書附贈180公分專業加強版彈力帶),,
,劉畊宏,ISBN：9789861753652,出版地：台灣,,健身，就能改變人生：畊宏的25年精練祕笈（附DVD）,,
,施寄青,ISBN：9789869029636,出版地：台灣,,當頭棒喝：施寄青與紫靈破解現代奇案,,
,唐立淇,ISBN：9789868889125,,,12星座人性攻略(增訂版),,
,董淑芬/著,ISBN：9789869058629,出版地：台灣,,買菜學堂，開課了！新手採買便利冊,,
,黃健庭,ISBN：9789863205296,出版地：台灣,,勇敢不一樣：黃健庭與台東的成長故事,,
出版日期：2014/07/07,湊佳苗,ISBN：9789573330912,出版地：台灣,語言：繁體中文,白雪公主殺人事件,,
出版日期：2010/04/01,增田裕子,ISBN：9789862111536,出版地：台灣,語言：繁體中文,創意帽子屋,,
出版日期：2014/07/31,三浦展,ISBN：9789863204862,出版地：台灣,語言：繁體中文,超獨居時代的潛商機：一人化社會的消費趨勢報告,,
出版日期：2010/07/11,約翰．布羅,ISBN：9789862720042,出版地：台灣,語言：繁體中文,歷史的歷史： 史學家和他們的歷史時代,,
,洪震宇,ISBN：9789573274834,出版地：台灣,,風土餐桌小旅行：12個小地方的飲食人類學筆記,,
出版日期：2014/04/17,克里斯多夫．拉許,ISBN：4717702086220,出版地：台灣,語言：繁體中文,菁英的反叛,,
,蔣勳,ISBN：9789573274865,出版地：台灣,,微塵眾：紅樓夢小人物3,,
